84570.951 DavidsonIt: 76 1 30  +3.621264523204475e+00 +0.000000000000000e+00 +1.000000000000000e+00 +1.912225661922914e-09 +1.123545700920658e-13 
84576.043 DavidsonIt: 76 2 30  +3.621264540734792e+00 +0.000000000000000e+00 +1.000000000000000e+00 +3.853309531014556e-09 +1.949551631241775e-13 
84581.341 DavidsonIt: 76 3 30  +3.621264557750750e+00 +0.000000000000000e+00 +1.000000000000000e+00 +5.813912775705697e-09 +8.038014698286133e-14 
84586.415 DavidsonIt: 76 4 30  +4.045368160087042e+00 +0.000000000000000e+00 +9.999999999999973e-01 +6.886305593607022e-09 +3.455014052633487e-13 
84591.478 DavidsonIt: 76 5 30  +6.030068561938084e+00 +0.000000000000000e+00 +9.999999999999994e-01 +9.186943538533757e-09 +8.704148513061227e-14 
84596.547 DavidsonIt: 76 6 30  +6.030068574016776e+00 +0.000000000000000e+00 +9.999999999999950e-01 +1.203300417485722e-08 +1.838529328779259e-13 
84601.683 DavidsonIt: 76 7 30  +6.030068587236100e+00 +0.000000000000000e+00 +9.999999999999999e-01 +1.575632602020682e-08 +1.687538997430238e-14 
84606.752 DavidsonIt: 76 8 30  +7.005970242625970e+00 +0.000000000000000e+00 +1.000000000000000e+00 +1.994525256660466e-08 +1.953992523340276e-14 
84611.868 DavidsonIt: 76 9 30  +7.005970454183181e+00 +0.000000000000000e+00 +1.000000000000000e+00 +2.402038739663213e-08 +3.375077994860476e-14 
84616.934 DavidsonIt: 76 10 30  +7.005970477764951e+00 +0.000000000000000e+00 +1.000000000000003e+00 +2.828183269794089e-08 +8.615330671091215e-14 
84622.010 DavidsonIt: 76 11 30  +7.176197812457975e+00 +0.000000000000000e+00 +1.000000000000011e+00 +3.018701124801284e-08 +2.913225216616411e-13 
84627.085 DavidsonIt: 76 12 30  +7.876298615471730e+00 +0.000000000000000e+00 +9.999999999999999e-01 +3.236941973208143e-08 +4.440892098500626e-14 
84632.164 DavidsonIt: 76 13 30  +7.876298857741605e+00 +0.000000000000000e+00 +1.000000000000000e+00 +3.386963189820098e-08 +4.529709940470639e-14 
84637.233 DavidsonIt: 76 14 30  +7.876298863261219e+00 +0.000000000000000e+00 +1.000000000000008e+00 +3.533004685357980e-08 +1.056932319443149e-13 
84642.307 DavidsonIt: 76 15 30  +8.017330342209689e+00 +0.000000000000000e+00 +1.000000000000000e+00 +4.092072861599496e-08 +4.263256414560601e-14 
84647.383 DavidsonIt: 76 16 30  +8.017331302705172e+00 +0.000000000000000e+00 +1.000000000000006e+00 +4.806315693446666e-08 +1.794120407794253e-13 
84652.589 DavidsonIt: 76 17 30  +8.017331422868777e+00 +0.000000000000000e+00 +9.999999999999999e-01 +5.553584903967104e-08 +6.750155989720952e-14 
84657.809 DavidsonIt: 76 18 30  +8.063440982116534e+00 +0.000000000000000e+00 +1.000000000000001e+00 +6.295164560359610e-08 +1.652011860642233e-13 
84662.890 DavidsonIt: 76 19 30  +8.145732076211559e+00 +0.000000000000000e+00 +1.000000000000008e+00 +6.951258352435920e-08 +2.025046796916286e-13 
84668.074 DavidsonIt: 76 20 30  +8.511816036178402e+00 +0.000000000000000e+00 +9.999999999999969e-01 +1.578990120933689e-07 +2.522426711948356e-13 
84673.152 DavidsonIt: 76 21 31  +8.511816370211250e+00 +0.000000000000000e+00 +1.000000000000000e+00 +2.249109110144007e-07 +1.065814103640150e-14 
84678.257 DavidsonIt: 76 22 32  +8.511816570193513e+00 +0.000000000000000e+00 +1.000000000000000e+00 +3.042072074476227e-07 +2.309263891220326e-14 
84683.372 DavidsonIt: 76 23 33  +8.611929730495467e+00 +0.000000000000000e+00 +9.999999999999993e-01 +3.175624880036101e-07 +1.207922650792170e-13 
84688.481 DavidsonIt: 76 24 33  +8.628964815971381e+00 +0.000000000000000e+00 +9.999999999999999e-01 +3.515012837203983e-07 +6.394884621840902e-14 
84693.591 DavidsonIt: 76 25 33  +8.628965056122434e+00 +0.000000000000000e+00 +1.000000000000000e+00 +3.899049835056309e-07 +1.065814103640150e-14 
84698.726 DavidsonIt: 76 26 34  +8.628965671165792e+00 +0.000000000000000e+00 +9.999999999999900e-01 +4.221374007106143e-07 +1.438849039914203e-13 
84704.041 DavidsonIt: 76 27 34  +9.431098150699203e+00 +0.000000000000000e+00 +1.000000000000000e+00 +4.349357217816415e-05 +1.243449787580175e-14 
84709.184 DavidsonIt: 76 28 35  +9.431145484656945e+00 +0.000000000000000e+00 +9.999999999999889e-01 +9.606172219611033e-05 +5.684341886080801e-14 
84714.338 DavidsonIt: 76 29 36  +9.431176256289952e+00 +0.000000000000000e+00 +9.999999999999993e-01 +1.467103738996375e-04 +1.598721155460225e-14 
84719.499 DavidsonIt: 76 30 37  +9.657300863904011e+00 +0.000000000000000e+00 +1.000000000000006e+00 +7.073657993280299e-04 +2.184918912462308e-13 


