110891.008 DavidsonIt: 108 1 169  +3.621264629182881e+00 +1.249916291423109e-16 +1.000000000000000e+00 +1.934324594727402e-09 +1.363354447198202e-13 
110945.278 DavidsonIt: 108 2 169  +3.621264710171002e+00 -6.051127642865688e-16 +1.000000000000000e+00 +3.843152622567698e-09 +6.688765758806661e-15 
111003.454 DavidsonIt: 108 3 169  +3.621264937061349e+00 -2.836786057330866e-16 +1.000000000000006e+00 +5.617270330284156e-09 +5.875401942745391e-09 
111011.318 DavidsonIt: 108 4 169  +4.045368285635101e+00 -3.151674438613588e-16 +9.999999999999986e-01 +6.622425252239505e-09 +5.288170790151989e-09 
111025.989 DavidsonIt: 108 5 169  +6.030068550008725e+00 +0.000000000000000e+00 +9.999999999999998e-01 +8.814396208250358e-09 +4.440892098500626e-14 
111036.218 DavidsonIt: 108 6 169  +6.030068554525617e+00 +0.000000000000000e+00 +9.999999999999998e-01 +1.229078107890091e-08 +3.552713678800501e-15 
111044.676 DavidsonIt: 108 7 169  +6.030068566846912e+00 +0.000000000000000e+00 +9.999999999999998e-01 +1.503928251169235e-08 +2.287059430727822e-10 
111055.568 DavidsonIt: 108 8 169  +7.005970600108855e+00 +0.000000000000000e+00 +1.000000000000000e+00 +1.872905754734306e-08 +8.881784197001252e-16 
111066.030 DavidsonIt: 108 9 169  +7.005970644540782e+00 +0.000000000000000e+00 +9.999999999999996e-01 +2.232120047282228e-08 +5.861977570020827e-14 
111121.571 DavidsonIt: 108 10 169  +7.005970704728923e+00 +0.000000000000000e+00 +1.000000000000004e+00 +2.608767360223162e-08 +1.233278013046402e-08 
111133.657 DavidsonIt: 108 11 169  +7.176197725580978e+00 +0.000000000000000e+00 +1.000000000000005e+00 +2.763451532286784e-08 +3.321958974566996e-08 
111145.115 DavidsonIt: 108 12 169  +7.876298582485719e+00 +0.000000000000000e+00 +1.000000000000000e+00 +2.923764461260489e-08 +9.769962616701378e-15 
111156.288 DavidsonIt: 108 13 169  +7.876298921483214e+00 +0.000000000000000e+00 +1.000000000000000e+00 +3.039239049835785e-08 +3.108624468950438e-14 
111168.590 DavidsonIt: 108 14 169  +7.876298945421222e+00 +0.000000000000000e+00 +9.999999999999993e-01 +3.145472154909056e-08 +1.766503388012097e-09 
111181.258 DavidsonIt: 108 15 169  +8.017330328277644e+00 +0.000000000000000e+00 +1.000000000000000e+00 +3.580560943410247e-08 +7.105427357601002e-15 
111317.445 DavidsonIt: 108 16 169  +8.017330942149012e+00 +0.000000000000000e+00 +1.000000000000006e+00 +4.192647502876689e-08 +3.307281382092242e-08 
111414.547 DavidsonIt: 108 17 169  +8.017331128725335e+00 +0.000000000000000e+00 +1.000000000000000e+00 +4.834015306652410e-08 +1.030286966852145e-13 
111422.849 DavidsonIt: 108 18 169  +8.063441023398967e+00 +0.000000000000000e+00 +9.999999999999968e-01 +5.423614364102760e-08 +2.129221066127229e-08 
111431.613 DavidsonIt: 108 19 169  +8.145732389148067e+00 +0.000000000000000e+00 +9.999999999999991e-01 +5.993202327148969e-08 +1.501169677453618e-08 
111501.227 DavidsonIt: 108 20 169  +8.511816399767056e+00 +0.000000000000000e+00 +1.000000000000000e+00 +7.159563336220172e-08 +1.421085471520200e-14 
111518.276 DavidsonIt: 108 21 169  +8.511816499742908e+00 +0.000000000000000e+00 +9.999999999999979e-01 +7.278813209688504e-08 +2.487610117896111e-09 
111531.332 DavidsonIt: 108 22 169  +8.511816547306609e+00 +0.000000000000000e+00 +9.999999999999987e-01 +8.739692047515533e-08 +5.861977570020827e-14 
111540.851 DavidsonIt: 108 23 169  +8.611930121956041e+00 +0.000000000000000e+00 +9.999999999999881e-01 +9.138343546881174e-08 +4.094825101219612e-08 
111556.410 DavidsonIt: 108 24 169  +8.628968200903998e+00 +0.000000000000000e+00 +1.000000000000000e+00 +1.025871558125930e-07 +1.953992523340276e-14 
111586.769 DavidsonIt: 108 25 169  +8.628968848145512e+00 +0.000000000000000e+00 +9.999999999999897e-01 +1.114103329118167e-07 +9.897634711819592e-09 
111690.775 DavidsonIt: 108 26 169  +8.628968992397670e+00 +0.000000000000000e+00 +9.999999999999980e-01 +1.174356335526020e-07 +1.776356839400250e-15 
111700.344 DavidsonIt: 108 27 169  +9.334142216589846e+00 +0.000000000000000e+00 +1.000000000000000e+00 +4.765828837515664e-02 +3.869879831697176e-04 
111711.470 DavidsonIt: 108 28 170  +9.431089116710604e+00 +0.000000000000000e+00 +9.999999999999994e-01 +4.765829839851499e-02 +1.776356839400250e-15 
111799.697 DavidsonIt: 108 29 170  +9.431089455233305e+00 +0.000000000000000e+00 +9.999999999999947e-01 +4.765831659834404e-02 +5.582629469813583e-08 
111811.326 DavidsonIt: 108 30 170  +9.431089936950292e+00 +0.000000000000000e+00 +1.000000000000000e+00 +4.765832884249997e-02 +5.329070518200751e-15 

