95787.174 DavidsonIt: 79 1 88  +3.621263998659908e+00 +0.000000000000000e+00 +9.999999999999997e-01 +5.791823726478793e-08 +5.089408843694798e-06 
95798.202 DavidsonIt: 79 2 89  +3.621264337425965e+00 +0.000000000000000e+00 +1.000000000000008e+00 +6.378418566012320e-08 +1.267165905538548e-06 
95809.250 DavidsonIt: 79 3 89  +3.621264371855729e+00 +0.000000000000000e+00 +1.000000000000000e+00 +6.928108443106040e-08 +1.138571533942923e-06 
95820.601 DavidsonIt: 79 4 89  +4.045362866472288e+00 +0.000000000000000e+00 +1.000000000000011e+00 +2.625956784291360e-07 +9.517304317085973e-06 
95831.634 DavidsonIt: 79 5 90  +6.030070897527156e+00 +0.000000000000000e+00 +1.000000000000000e+00 +3.072004239756926e-07 +4.724922818333255e-06 
95842.700 DavidsonIt: 79 6 91  +6.030071018769326e+00 +0.000000000000000e+00 +9.999999999999929e-01 +3.559918390302945e-07 +4.689208300767689e-06 
95853.807 DavidsonIt: 79 7 92  +6.030071347441416e+00 +0.000000000000000e+00 +1.000000000000000e+00 +4.090606326337356e-07 +4.900364089621689e-06 
95864.952 DavidsonIt: 79 8 93  +7.006216395232602e+00 +0.000000000000000e+00 +1.000000000000005e+00 +2.821349396447830e-05 +2.296197022406687e-04 
95876.267 DavidsonIt: 79 9 94  +7.006252761403631e+00 +0.000000000000000e+00 +1.000000000000000e+00 +6.025086190941766e-05 +2.302857862153118e-04 
95887.465 DavidsonIt: 79 10 95  +7.006268510131106e+00 +0.000000000000000e+00 +1.000000000000000e+00 +9.597190158776336e-05 +2.122675886901959e-04 
95898.661 DavidsonIt: 79 11 96  +7.176370391953358e+00 +0.000000000000000e+00 +1.000000000000007e+00 +1.144285540382803e-04 +1.522695169171584e-04 
95909.884 DavidsonIt: 79 12 97  +7.876569040085653e+00 +0.000000000000000e+00 +1.000000000000000e+00 +2.152164450051281e-04 +4.090545233852438e-04 
95921.173 DavidsonIt: 79 13 98  +7.876569839423638e+00 +0.000000000000000e+00 +9.999999999999908e-01 +3.142123559170491e-04 +3.904345080512073e-04 
95932.512 DavidsonIt: 79 14 99  +7.876588476921600e+00 +0.000000000000000e+00 +1.000000000000000e+00 +4.207454783344746e-04 +4.047097114483478e-04 
95943.838 DavidsonIt: 79 15 100  +8.017407513179817e+00 +0.000000000000000e+00 +1.000000000000000e+00 +4.588078942010817e-04 +1.014490115895939e-04 
95955.196 DavidsonIt: 79 16 101  +8.017433969901219e+00 +0.000000000000000e+00 +1.000000000000002e+00 +4.896700463181125e-04 +1.239548618645614e-04 
95966.593 DavidsonIt: 79 17 102  +8.017434770185545e+00 +0.000000000000000e+00 +1.000000000000000e+00 +5.254377584189566e-04 +1.092873481542966e-04 
95977.989 DavidsonIt: 79 18 103  +8.063854191302765e+00 +0.000000000000000e+00 +1.000000000000014e+00 +6.928262420888271e-04 +6.028332216168053e-04 
95989.429 DavidsonIt: 79 19 104  +8.145814112094081e+00 +0.000000000000000e+00 +1.000000000000002e+00 +7.229069139469950e-04 +1.518991950106852e-04 
96000.868 DavidsonIt: 79 20 105  +8.584541171063089e+00 +0.000000000000000e+00 +9.999999999999921e-01 +1.988453868595527e+00 +5.352312413823057e-03 
96012.379 DavidsonIt: 79 21 106  +8.585751803679655e+00 +0.000000000000000e+00 +9.999999999999999e-01 +3.957196815277819e+00 +5.339335698163694e-03 
96023.870 DavidsonIt: 79 22 107  +8.596492985595766e+00 +0.000000000000000e+00 +1.000000000000000e+00 +6.301899305977781e+00 +7.365378321367189e-03 
96035.393 DavidsonIt: 79 23 108  +8.611218362758382e+00 +0.000000000000000e+00 +9.999999999999779e-01 +6.303140355117555e+00 +5.807759175162630e-04 
96046.942 DavidsonIt: 79 24 109  +8.627622479221328e+00 +0.000000000000000e+00 +9.999999999999996e-01 +6.318078390826901e+00 +1.266173315233488e-03 
96058.538 DavidsonIt: 79 25 110  +8.628768041510053e+00 +0.000000000000000e+00 +9.999999999999877e-01 +6.318252738821216e+00 +2.785500833830667e-04 
96070.298 DavidsonIt: 79 26 111  +8.628793129250351e+00 +0.000000000000000e+00 +9.999999999999998e-01 +6.318435016292907e+00 +2.628710015954994e-04 
96081.969 DavidsonIt: 79 27 112  +9.658595245132169e+00 +0.000000000000000e+00 +1.000000000000009e+00 +6.323287467201179e+00 +3.972522586916938e-04 
96093.617 DavidsonIt: 79 28 113  +1.019159634079280e+01 +0.000000000000000e+00 +1.000000000000007e+00 +1.611780688294229e+01 +4.152157269276735e-02 
96105.291 DavidsonIt: 79 29 114  +1.060568471307137e+01 +0.000000000000000e+00 +1.000000000000000e+00 +2.620874604925700e+01 +1.340007935506549e-02 
96116.988 DavidsonIt: 79 30 115  +1.084767392370052e+01 +0.000000000000000e+00 +1.000000000000008e+00 +2.740132125320883e+01 +3.214057112961299e-02


