11907.147 DavidsonIt: 122 1 138  +4.246907457315647e+00 +0.000000000000000e+00 +1.000000000000000e+00 +8.687107547971231e-10 +7.362052301118638e-09 
11908.728 DavidsonIt: 122 2 138  +4.246907517630260e+00 +0.000000000000000e+00 +9.999999999999999e-01 +1.741972267982528e-09 +3.197442310920451e-14 
11910.206 DavidsonIt: 122 3 138  +4.246907574738346e+00 +0.000000000000000e+00 +1.000000000000013e+00 +2.662022615875541e-09 +3.006817905770731e-09 
11911.682 DavidsonIt: 122 4 138  +4.678145385224912e+00 +0.000000000000000e+00 +1.000000000000003e+00 +3.157204184090703e-09 +1.117456349675194e-09 
11913.157 DavidsonIt: 122 5 138  +6.758861957914927e+00 +0.000000000000000e+00 +1.000000000000000e+00 +4.131845876511630e-09 +2.486899575160351e-14 
11914.629 DavidsonIt: 122 6 138  +6.758862027785954e+00 +0.000000000000000e+00 +1.000000000000000e+00 +4.903532941418427e-09 +1.693308959715978e-08 
11916.101 DavidsonIt: 122 7 138  +6.758862095369730e+00 +0.000000000000000e+00 +1.000000000000007e+00 +5.841418636843918e-09 +1.733948362669935e-08 
11917.570 DavidsonIt: 122 8 138  +6.925780488219063e+00 +0.000000000000000e+00 +9.999999999999919e-01 +7.275484277692760e-09 +2.664535259100376e-15 
11919.042 DavidsonIt: 122 9 138  +6.925780500809642e+00 +0.000000000000000e+00 +9.999999999999930e-01 +7.968850402877714e-09 +1.199936505713595e-08 
11920.511 DavidsonIt: 122 10 138  +6.925780627595125e+00 +0.000000000000000e+00 +9.999999999999999e-01 +8.646073753295199e-09 +8.146521679464058e-09 
11921.977 DavidsonIt: 122 11 138  +7.098943731214942e+00 +0.000000000000000e+00 +1.000000000000006e+00 +1.122332338802214e-08 +1.701627549977047e-08 
11923.444 DavidsonIt: 122 12 138  +7.846231035838059e+00 +0.000000000000000e+00 +1.000000000000000e+00 +1.321786674019705e-08 +8.881784197001252e-16 
11924.914 DavidsonIt: 122 13 138  +7.846231319306726e+00 +0.000000000000000e+00 +9.999999999999997e-01 +1.515878034104450e-08 +1.952749251188379e-08 
11926.382 DavidsonIt: 122 14 138  +7.846231793328375e+00 +0.000000000000000e+00 +1.000000000000008e+00 +1.718668345867243e-08 +1.142361405470638e-08 
11927.849 DavidsonIt: 122 15 138  +7.960886158205698e+00 +0.000000000000000e+00 +1.000000000000001e+00 +1.919053437255345e-08 +1.646363045892940e-08 
11929.315 DavidsonIt: 122 16 138  +7.960886313281554e+00 +0.000000000000000e+00 +1.000000000000001e+00 +2.036425162707937e-08 +1.202709754011266e-08 
11930.780 DavidsonIt: 122 17 138  +7.960886480468432e+00 +0.000000000000000e+00 +9.999999999999998e-01 +2.172206134475493e-08 +2.220446049250313e-14 
11932.250 DavidsonIt: 122 18 138  +8.043823904199918e+00 +0.000000000000000e+00 +1.000000000000005e+00 +2.325135047307999e-08 +6.471850610978436e-09 
11933.715 DavidsonIt: 122 19 138  +8.101129191012170e+00 +0.000000000000000e+00 +9.999999999999954e-01 +2.631218648810257e-08 +1.550506034675436e-08 
11935.187 DavidsonIt: 122 20 138  +8.784178201066933e+00 +0.000000000000000e+00 +1.000000000000022e+00 +2.713087213881879e-08 +7.124318912588024e-09 
11936.652 DavidsonIt: 122 21 138  +8.803740680816313e+00 +0.000000000000000e+00 +1.000000000000000e+00 +2.974390425702856e-08 +5.329070518200751e-15 
11938.118 DavidsonIt: 122 22 138  +8.803740933514911e+00 +0.000000000000000e+00 +9.999999999999999e-01 +3.245864620249758e-08 +7.051793815548990e-09 
11939.585 DavidsonIt: 122 23 138  +8.803741110650250e+00 +0.000000000000000e+00 +9.999999999999973e-01 +3.391546438507965e-08 +1.101312108175989e-08 
11941.053 DavidsonIt: 122 24 138  +9.157730464663507e+00 +0.000000000000000e+00 +9.999999999999921e-01 +3.921187061061601e-08 +1.243449787580175e-14 
11942.519 DavidsonIt: 122 25 138  +9.157731025975364e+00 +0.000000000000000e+00 +1.000000000000000e+00 +4.113840418479101e-08 +6.818033071454010e-08 
11943.986 DavidsonIt: 122 26 138  +9.157731172092758e+00 +0.000000000000000e+00 +9.999999999999913e-01 +4.242189556849290e-08 +1.701448759661162e-08 
11945.453 DavidsonIt: 122 27 138  +9.912492946842923e+00 +0.000000000000000e+00 +9.999999999999977e-01 +7.751499336357401e-08 +1.377929695678404e-06 
11946.929 DavidsonIt: 122 28 139  +9.912493907938456e+00 +0.000000000000000e+00 +9.999999999999996e-01 +1.037680331019235e-07 +1.494180338568185e-06 
11948.411 DavidsonIt: 122 29 140  +9.980196399802274e+00 +0.000000000000000e+00 +9.999999999999994e-01 +2.204828153233447e-07 +3.546856230940421e-07 
11949.896 DavidsonIt: 122 30 141  +9.997418772913338e+00 +0.000000000000000e+00 +9.999999999999948e-01 +2.294047433646973e-07 +3.072442922302798e-08 
