27 1 149 +2.802129599446520e-02 +1.586658193132236e-17
27 2 149 +7.067155685917025e-02 +4.634422629022263e-16
27 3 149 +7.072859141347584e-02 +1.321364853395854e-16
27 4 149 +7.111478778100239e-02 +1.934257002392377e-15
27 5 149 +7.126099852950649e-02 +7.370712712599700e-16
27 6 149 +3.315252335228801e+00 -6.947649250278135e-11
27 7 149 +3.315562819967972e+00 -7.795226381180051e-11
27 8 149 +3.325239836520338e+00 -1.037776333018789e-13
27 9 149 +3.326014943165596e+00 -5.088422362497540e-14
27 10 149 +3.349000290351108e+00 +1.319438689490033e-15
27 11 149 +3.349357304381203e+00 -5.196146659443803e-15
27 12 149 +3.354557898579840e+00 +2.756328221379363e-11
27 13 149 +3.358871187208424e+00 +1.182471931326035e-13
27 14 150 +3.363014971788518e+00 -1.001670982074025e-15
27 15 151 +4.202876479720264e+00 +3.455913939986270e-16
27 16 151 +4.206830558210736e+00 -1.218536400324330e-14
27 17 151 +5.454307707962767e+00 -6.250358673933572e-15
27 18 151 +5.456563021985184e+00 -1.959301741801974e-14
27 19 151 +5.456910702441627e+00 +1.324622620976379e-15
27 20 151 +5.457216044020776e+00 +2.998481199485437e-14
27 21 151 +5.457716571424358e+00 +1.381538584851708e-15
27 22 151 +5.458475422276592e+00 +8.127819250000959e-16
27 23 151 +5.545974775468265e+00 +2.153019706784320e-12
27 24 152 +5.546018873245115e+00 +3.206328487245475e-15
27 25 153 +5.548139725059575e+00 -3.445147092611845e-15
27 26 154 +5.548684496359289e+00 +1.280499170076206e-13
27 27 155 +5.584969653194943e+00 +1.613774085639056e-15
27 28 155 +5.587649934352727e+00 -3.953053660407466e-14
27 29 155 +6.074696537890254e+00 +1.348449054599427e-09
27 30 156 +6.078008372292092e+00 +5.718088291772172e-14
